time,barrier_z,soliton_z,gamma
38.800000000000004,-9.999873889176255,-1.9661475,1.9
39.0,-9.999880778554928,-1.9615173,1.9
39.2,-9.9998884069494,-1.902011,1.9
39.4,-9.999896709256868,-1.8079985,1.9
39.6,-9.99990561547198,-1.714985,1.9
39.800000000000004,-9.999915051287935,-1.5969582,1.9
0.0,-10.0,-9.999923,1.95
0.2,-9.999999975811452,-9.96968,1.95
0.4,-9.999999807826457,-9.9394245,1.95
0.6,-9.999999354724803,-9.909126,1.95
0.8,-9.999998477975558,-9.878782,1.95
1.0,-9.999997058268237,-9.864892,1.95
1.2,-9.999995030248954,-9.84004,1.95
1.4000000000000001,-9.999992310427691,-9.816876,1.95
1.6,-9.999988822884973,-9.791759,1.95
1.8,-9.999984500579687,-9.768135,1.95
2.0,-9.999979286328166,-9.743185,1.95
2.2,-9.999973133074311,-9.718612,1.95
2.4,-9.999966005334528,-9.694106,1.95
2.6,-9.999957879914911,-9.669031,1.95
2.8000000000000003,-9.9999487461369,-9.644546,1.95
3.0,-9.999938606194423,-9.619295,1.95
3.2,-9.999927474802941,-9.594564,1.95
3.4,-9.999915379375963,-9.569276,1.95
3.6,-9.999902359620219,-9.544199,1.95
3.8000000000000003,-9.999888467453248,-9.518797,1.95
4.0,-9.999873766523235,-9.49317,1.95
4.2,-9.999858331765008,-9.466478,1.95
4.4,-9.999842248758949,-9.435137,1.95
4.6000000000000005,-9.99982561292559,-9.39352,1.95
4.8,-9.999808528681617,-9.338512,1.95
5.0,-9.999791108364322,-9.278391,1.95
5.2,-9.999773471188671,-9.219917,1.95
5.4,-9.999755742000646,-9.162903,1.95
5.6000000000000005,-9.99973805007959,-9.107776,1.95
5.8,-9.99972052779908,-9.055177,1.95
6.0,-9.999703309321337,-9.004812,1.95
6.2,-9.999686529241783,-8.956388,1.95
6.4,-9.999670321241274,-8.910278,1.95
6.6000000000000005,-9.999654816767492,-8.868942,1.95
6.8,-9.999640143723552,-8.83372,1.95
7.0,-9.999626425239233,-8.798683,1.95
7.2,-9.999613778445305,-8.761105,1.95
7.4,-9.999602313354684,-8.7366295,1.95
7.6000000000000005,-9.999592131785537,-8.699929,1.95
7.8,-9.999583326399268,-8.664579,1.95
8.0,-9.999575979808942,-8.630849,1.95
8.2,-9.999570163803211,-8.588689,1.95
8.4,-9.999565938672703,-8.551326,1.95
8.6,-9.999563352633835,-8.509458,1.95
8.8,-9.999562441382224,-8.463047,1.95
9.0,-9.999563227741556,-8.426432,1.95
9.200000000000001,-9.999565721447604,-8.371901,1.95
9.4,-9.999569919032039,-8.333083,1.95
9.6,-9.999575803836732,-8.286214,1.95
9.8,-9.999583346122789,-8.230411,1.95
10.0,-9.99959250329483,-8.191342,1.95
10.200000000000001,-9.999603220236512,-8.143287,1.95
10.4,-9.999615429770706,-8.083844,1.95
10.6,-9.99962905324829,-8.040649,1.95
10.8,-9.999644001222265,-8.00017,1.95
11.0,-9.999660174211844,-7.9422345,1.95
11.200000000000001,-9.999677463524069,-7.8856654,1.95
11.4,-9.99969575215218,-7.8467894,1.95
11.6,-9.999714915735517,-7.809539,1.95
11.8,-9.999734823582035,-7.7547703,1.95
12.0,-9.999755339735035,-7.6961923,1.95
12.200000000000001,-9.999776324073181,-7.6506934,1.95
12.4,-9.999797633436943,-7.620595,1.95
12.6,-9.999819122762469,-7.582609,1.95
12.8,-9.999840646232846,-7.528261,1.95
13.0,-9.999862058422423,-7.4736357,1.95
13.200000000000001,-9.99988321543707,-7.4279103,1.95
13.4,-9.999903976039487,-7.3908014,1.95
13.6,-9.999924202745458,-7.356861,1.95
13.8,-9.999943762885607,-7.314801,1.95
14.0,-9.999962529622335,-7.264878,1.95
14.200000000000001,-9.999980382909277,-7.2116437,1.95
14.4,-9.999997210394609,-7.161584,1.95
14.6,-10.00001290825437,-7.119388,1.95
14.8,-10.000027381944705,-7.0828958,1.95
15.0,-10.000040546896496,-7.0507703,1.95
15.200000000000001,-10.000052329117937,-7.013659,1.95
15.4,-10.000062665710665,-6.9707437,1.95
15.6,-10.000071505291304,-6.925581,1.95
15.8,-10.00007880832307,-6.8782315,1.95
16.0,-10.000084547344871,-6.8389745,1.95
16.2,-10.00008870710278,-6.798955,1.95
16.4,-10.00009128458933,-6.767751,1.95
16.6,-10.00009228898134,-6.7603498,1.95
16.8,-10.00009174147977,-6.7326155,1.95
17.0,-10.00008967506066,-6.6976814,1.95
17.2,-10.000086134127102,-6.67701,1.95
17.400000000000002,-10.000081174073149,-6.641454,1.95
17.6,-10.0000748607706,-6.602361,1.95
17.8,-10.000067269969565,-6.56092,1.95
18.0,-10.000058486628317,-6.5333967,1.95
18.2,-10.000048604176348,-6.504412,1.95
18.400000000000002,-10.00003772370997,-6.503998,1.95
18.6,-10.000025953135694,-6.4650526,1.95
18.8,-10.000013406269884,-6.4507565,1.95
19.0,-10.000000201891655,-6.432349,1.95
19.2,-9.999986462772753,-6.427406,1.95
19.400000000000002,-9.999972314686058,-6.388539,1.95
19.6,-9.999957885399592,-6.3596983,1.95
19.8,-9.999943303649435,-6.334031,1.95
20.0,-9.999928698117802,-6.299334,1.95
20.2,-9.999914196413775,-6.266228,1.95
20.400000000000002,-9.999899924070123,-6.2306046,1.95
20.6,-9.999886003566242,-6.1997685,1.95
20.8,-9.999872553385016,-6.174458,1.95
21.0,-9.999859687106152,-6.1448703,1.95
21.2,-9.999847512539928,-6.1300845,1.95
21.400000000000002,-9.999836130921265,-6.099153,1.95
21.6,-9.99982563616019,-6.0880666,1.95
21.8,-9.999816114160009,-6.0597653,1.95
22.0,-9.99980764219734,-6.0465837,1.95
22.2,-9.99980028837928,-6.0360513,1.95
22.400000000000002,-9.99979411117858,-5.989974,1.95
22.6,-9.9997891590503,-5.9801364,1.95
22.8,-9.999785470131725,-5.9332542,1.95
23.0,-9.999783072015882,-5.9107347,1.95
23.2,-9.99978198160849,-5.8778477,1.95
23.400000000000002,-9.99978220507658,-5.837937,1.95
23.6,-9.9997837378865,-5.7980514,1.95
23.8,-9.999786564929614,-5.752376,1.95
24.0,-9.999790660732117,-5.71159,1.95
24.2,-9.999795989734766,-5.6728544,1.95
24.400000000000002,-9.999802506656103,-5.6264415,1.95
24.6,-9.999810156936642,-5.5901036,1.95
24.8,-9.999818877249705,-5.566317,1.95
25.0,-9.9998285960747,-5.5147395,1.95
25.2,-9.999839234331239,-5.469741,1.95
25.400000000000002,-9.99985070607267,-5.4591646,1.95
25.6,-9.999862919234719,-5.4005866,1.95
25.8,-9.999875776424018,-5.3659315,1.95
26.0,-9.999889175750198,-5.355152,1.95
26.2,-9.999903011673867,-5.3345146,1.95
26.400000000000002,-9.999917175879123,-5.3067703,1.95
26.6,-9.999931558158213,-5.2473345,1.95
26.8,-9.999946047305407,-5.233839,1.95
27.0,-9.999960532025439,-5.2029104,1.95
27.2,-9.999974901815712,-5.140721,1.95
27.400000000000002,-9.999989047851734,-5.115652,1.95
27.6,-10.000002863832373,-5.0839763,1.95
27.8,-10.000016246799788,-5.039111,1.95
28.0,-10.000029097947397,-4.9724507,1.95
28.2,-10.000041323359028,-4.9379115,1.95
28.400000000000002,-10.00005283473885,-4.8960643,1.95
28.6,-10.000063550065626,-4.8471885,1.95
28.8,-10.000073394199164,-4.776439,1.95
29.0,-10.00008229943514,-4.7195253,1.95
29.2,-10.00009020597751,-4.6744075,1.95
29.400000000000002,-10.000097062375238,-4.6203303,1.95
29.6,-10.000102825852437,-4.554265,1.95
29.8,-10.000107462604904,-4.4972944,1.95
30.0,-10.000110947989086,-4.44001,1.95
30.2,-10.0001132666529,-4.391528,1.95
30.400000000000002,-10.000114412589346,-4.35755,1.95
30.6,-10.000114389102507,-4.265705,1.95
30.8,-10.000113208724215,-4.199578,1.95
31.0,-10.000110893023454,-4.1705823,1.95
31.2,-10.000107472389027,-4.1524734,1.95
31.400000000000002,-10.000102985696225,-4.084975,1.95
31.6,-10.000097479959564,-4.0057096,1.95
31.8,-10.000091009874101,-3.9459453,1.95
32.0,-10.000083637345039,-3.9401443,1.95
32.2,-10.000075430924483,-3.8975208,1.95
32.4,-10.000066465214699,-3.8632915,1.95
32.6,-10.000056820237601,-3.817441,1.95
32.8,-10.000046580724558,-3.7904243,1.95
33.0,-10.000035835462842,-3.6868231,1.95
33.2,-10.000024676491261,-3.646309,1.95
33.4,-10.000013198405574,-3.6714582,1.95
33.6,-10.000001497536665,-3.6402707,1.95
33.8,-9.999989671207524,-3.579468,1.95
34.0,-9.999977816916118,-3.4620147,1.95
